Standard,ENG,POR,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009 not supported yet
Places_day,Places_day,Vagas_diurno,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_DIURNO,,,,,,,,,,,
Places_evening,Places_evening,Vagas_noturno,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_NOTURNO,QT_VAGAS_ANUAL_NOTURNO,QT_VAGAS_ANUAL_NOTURNO,QT_VAGAS_ANUAL_NOTURNO,,,,,QT_VAGAS_NOTURNO_PRES,QT_VAGAS_NOTURNO_PRES,QT_VAGAS_NOTURNO_PRES,QT_VAGAS_NOTURNO
Places_distance,Places_distance,Vagas_EAD,QT_VG_TOTAL_EAD,QT_VG_TOTAL_EAD,QT_VG_TOTAL_EAD,QT_VG_TOTAL_EAD,QT_VAGAS_ANUAL_EAD,QT_VAGAS_ANUAL_EAD,QT_VAGAS_ANUAL_EAD,,,,,QT_VAGAS_ANUAL_EAD,QT_VAGAS_ANUAL_EAD,QT_VAGAS_ANUAL_EAD,
Places_new,Places_new,Vagas_nova,QT_VG_NOVA,QT_VG_NOVA,QT_VG_NOVA,QT_VG_NOVA,,,,,,,,,,,
Places_selec_process,Places_selec_process,Vagas_proc_seletivo,QT_VG_PROC_SELETIVO,QT_VG_PROC_SELETIVO,QT_VG_PROC_SELETIVO,QT_VG_PROC_SELETIVO,,,,,,,,,,,
Places_remaining,Places_remaining,Vagas_remanecesnte,QT_VG_REMANESC,QT_VG_REMANESC,QT_VG_REMANESC,QT_VG_REMANESC,,,,,,,,,,,
Places_special,Places_special,Vagas_especial,QT_VG_PROG_ESPECIAL,QT_VG_PROG_ESPECIAL,QT_VG_PROG_ESPECIAL,QT_VG_PROG_ESPECIAL,,,,,,,,,,,
Applicants_total,Applicants_total,Inscritos_total,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL,,,,,,,,,QT_INSCRITOS_ANO
Applicants_new_full-time,,,,,,,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGAS_NOVAS_INT,QT_INSC_VAGAS_NOVAS_INT,QT_INSC_VAGAS_NOVAS_INT,,,,,
Applicants_new_morning,,,,,,,QT_INSC_VAGA_NOVA_MATUTINO,QT_INSC_VAGA_NOVA_MATUTINO,QT_INSC_VAGA_NOVA_MATUTINO,QT_INSC_VAGAS_NOVAS_MAT,QT_INSC_VAGAS_NOVAS_MAT,QT_INSC_VAGAS_NOVAS_MAT,,,,,
Applicants_new_afternoon,,,,,,,QT_INSC_VAGA_NOVA_VESPERTINO,QT_INSC_VAGA_NOVA_VESPERTINO,QT_INSC_VAGA_NOVA_VESPERTINO,QT_INSC_VAGAS_NOVAS_VESP,QT_INSC_VAGAS_NOVAS_VESP,QT_INSC_VAGAS_NOVAS_VESP,,,,,
Applicants_new_evening,,,,,,,QT_INSC_VAGA_NOVA_NOTURNO,QT_INSC_VAGA_NOVA_NOTURNO,QT_INSC_VAGA_NOVA_NOTURNO,QT_INSC_VAGAS_NOVAS_NOT,QT_INSC_VAGAS_NOVAS_NOT,QT_INSC_VAGAS_NOVAS_NOT,,,,,
Applicants_new_distance,,,,,,,QT_INSC_VAGA_NOVA_EAD,QT_INSC_VAGA_NOVA_EAD,QT_INSC_VAGA_NOVA_EAD,QT_INSC_VAGAS_NOVAS_EAD,QT_INSC_VAGAS_NOVAS_EAD,QT_INSC_VAGAS_NOVAS_EAD,,,,,
Applicants_remaining_full-time,,,,,,,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_VAGAS_REMAN_INT,QT_INSC_VAGAS_REMAN_INT,QT_INSC_VAGAS_REMAN_INT,,,,,
Applicants_remaining_morning,,,,,,,QT_INSC_VAGA_REMAN_MATUTINO,QT_INSC_VAGA_REMAN_MATUTINO,QT_INSC_VAGA_REMAN_MATUTINO,QT_INSC_VAGAS_REMAN_MAT,QT_INSC_VAGAS_REMAN_MAT,QT_INSC_VAGAS_REMAN_MAT,,,,,
Applicants_remaining_afternoon,,,,,,,QT_INSC_VAGA_REMAN_VESPERTINO,QT_INSC_VAGA_REMAN_VESPERTINO,QT_INSC_VAGA_REMAN_VESPERTINO,QT_INSC_VAGAS_REMAN_VESP,QT_INSC_VAGAS_REMAN_VESP,QT_INSC_VAGAS_REMAN_VESP,,,,,
